session_id,user_type,entry_page,pages_viewed,time_on_site_sec,device_type,geo_region,referral_source,used_calculator,started_application,completed_application,bounced,dropoff_stage,loan_purpose,propensity_score,zip_code,credit_score,debt,income
session_35,Returning,Home,2,747,Tablet,West,Email,True,False,True,True,submit,Home Equity,0.3,73301,646,939.0,114064.0
session_36,Returning,Rates,11,360,Desktop,Midwest,Other,False,True,True,True,review,Home Equity,0.39,37201,622,1117.0,95889.0
session_37,New,Calculator,4,609,Tablet,South,Other,False,False,True,True,review,Refinance,0.97,32202,740,1534.0,89162.0
session_38,New,Rates,6,789,Desktop,Midwest,Facebook,True,False,True,True,calculator,Refinance,0.02,73301,718,2014.0,30000.0
session_39,New,Calculator,3,531,Desktop,West,Facebook,False,False,True,False,review,Other,0.72,32202,654,1751.0,68025.0
session_40,New,Learn,4,86,Tablet,South,Facebook,True,False,True,False,none,Purchase,0.95,29401,656,1624.0,72986.0
session_41,Returning,Calculator,3,194,Mobile,West,Direct,False,True,True,False,review,Purchase,0.06,73301,756,1539.0,38128.0
session_42,Returning,Home,2,195,Tablet,Northeast,Other,False,True,True,True,submit,Purchase,0.87,37201,640,1700.0,56065.0
session_43,New,Home,5,326,Desktop,West,Other,True,False,False,True,start_app,Home Equity,0.42,38103,782,1601.0,35479.0
session_44,Returning,Home,2,33,Desktop,Midwest,Other,True,False,True,False,none,Home Equity,0.88,33601,654,985.0,84042.0
session_45,New,Home,5,439,Mobile,South,Other,False,False,False,False,start_app,Home Equity,0.31,70112,731,1523.0,105469.0
session_46,New,Contact,7,836,Desktop,Midwest,Facebook,True,True,True,True,start_app,Home Equity,0.98,30301,683,963.0,112669.0
session_47,Returning,Calculator,7,135,Mobile,Northeast,Facebook,False,True,True,True,submit,Purchase,0.65,37201,730,1541.0,95370.0
session_48,New,Home,5,649,Tablet,South,Direct,False,True,False,False,submit,Other,0.63,73301,672,1260.0,60915.0
session_49,Returning,Rates,3,711,Mobile,South,Facebook,True,True,True,True,submit,Other,0.81,33601,691,2770.0,36698.0
session_50,New,Rates,7,808,Desktop,South,Other,True,True,True,True,submit,Home Equity,0.44,37201,702,1480.0,41078.0
session_51,New,Contact,6,808,Desktop,West,Other,True,False,False,True,none,Home Equity,0.26,73301,649,798.0,53275.0
session_52,New,Calculator,5,595,Mobile,Midwest,Google,False,True,False,False,submit,Purchase,0.26,75201,737,1433.0,62779.0
session_53,New,Calculator,5,195,Tablet,South,Facebook,False,True,True,True,none,Purchase,0.33,75201,674,1760.0,81006.0
session_54,Returning,Calculator,6,283,Mobile,South,Google,True,True,True,False,review,Other,0.62,37201,688,2337.0,59646.0
session_55,New,Contact,4,817,Desktop,South,Other,True,True,False,False,start_app,Refinance,0.84,75201,650,1205.0,93474.0
session_56,Returning,Calculator,5,695,Tablet,Northeast,Facebook,False,False,True,True,review,Other,0.5,73301,571,709.0,79193.0
session_57,Returning,Calculator,3,157,Mobile,South,Other,False,False,True,False,review,Other,0.4,73301,690,1908.0,85264.0
session_58,New,Home,4,515,Mobile,West,Google,True,False,True,False,calculator,Other,0.79,37201,820,810.0,113506.0
session_59,Returning,Calculator,5,105,Mobile,West,Google,True,True,False,False,review,Purchase,0.29,33601,739,1282.0,55494.0
session_60,New,Home,3,250,Desktop,South,Email,False,False,True,False,review,Home Equity,0.69,38103,699,1371.0,95468.0
session_61,Returning,Home,6,811,Desktop,West,Email,False,False,False,False,calculator,Purchase,0.11,32202,686,1465.0,84651.0
session_62,Returning,Calculator,4,463,Desktop,West,Facebook,True,True,True,False,review,Home Equity,0.11,33601,701,1845.0,76663.0
session_63,New,Rates,4,664,Tablet,South,Facebook,False,False,True,True,calculator,Refinance,0.64,29401,727,1158.0,107131.0
session_64,New,Learn,3,566,Tablet,West,Facebook,False,True,True,True,none,Refinance,0.08,73301,640,1363.0,106975.0
session_65,Returning,Rates,1,468,Tablet,Northeast,Facebook,False,False,False,True,start_app,Refinance,0.16,29401,755,1493.0,61338.0
session_66,New,Calculator,8,464,Desktop,South,Facebook,True,True,False,False,submit,Home Equity,0.62,33601,735,1575.0,80446.0
session_67,New,Calculator,4,647,Tablet,Midwest,Facebook,False,False,False,True,review,Other,0.44,32202,735,1549.0,92030.0
session_68,Returning,Rates,4,647,Tablet,West,Facebook,True,False,True,True,none,Home Equity,0.56,32202,721,1718.0,78175.0
session_69,Returning,Calculator,7,644,Mobile,South,Google,False,True,True,False,start_app,Refinance,0.98,30301,700,1922.0,99626.0
session_70,New,Home,4,807,Desktop,Midwest,Google,False,False,False,False,none,Other,0.63,32202,733,1696.0,92030.0
session_71,Returning,Contact,4,555,Mobile,Northeast,Google,True,True,False,True,calculator,Refinance,0.59,38103,729,1727.0,130814.0
session_72,New,Calculator,9,162,Desktop,Northeast,Other,True,False,False,True,none,Home Equity,0.38,32202,682,709.0,46743.0
session_73,New,Calculator,9,470,Desktop,South,Direct,False,True,True,True,review,Other,0.63,33601,671,1525.0,81939.0
session_74,Returning,Rates,9,563,Tablet,South,Other,True,False,True,False,review,Home Equity,0.01,30301,705,1740.0,62287.0
session_75,New,Home,3,616,Mobile,Northeast,Facebook,True,False,False,True,submit,Home Equity,0.56,33601,777,1864.0,100103.0
session_76,Returning,Rates,6,826,Mobile,Northeast,Direct,True,False,True,True,submit,Home Equity,0.07,33601,638,1154.0,44571.0
session_77,New,Rates,8,420,Tablet,Northeast,Google,False,True,True,False,review,Other,0.22,70112,626,1170.0,93658.0
session_78,New,Calculator,5,273,Mobile,Midwest,Google,True,True,False,False,none,Refinance,0.56,30301,708,1213.0,69249.0
session_79,New,Home,7,797,Mobile,Midwest,Email,False,True,True,False,review,Refinance,0.67,33601,702,1768.0,66646.0
session_80,Returning,Calculator,9,175,Desktop,South,Facebook,True,False,False,True,none,Other,0.38,70112,708,2017.0,48838.0
session_81,Returning,Calculator,2,444,Mobile,Midwest,Facebook,True,True,False,False,review,Purchase,0.42,70112,712,1296.0,73373.0
session_82,New,Calculator,7,456,Mobile,West,Email,False,True,False,False,start_app,Other,0.5,30301,688,1954.0,112113.0
session_83,Returning,Calculator,7,241,Desktop,Northeast,Other,False,False,False,False,none,Purchase,0.76,29401,774,1562.0,84370.0
session_84,Returning,Contact,2,278,Tablet,South,Email,True,True,False,False,calculator,Home Equity,0.02,38103,619,1438.0,100692.0
session_85,New,Learn,5,64,Desktop,Midwest,Facebook,False,True,True,False,calculator,Refinance,0.45,32202,658,1394.0,126616.0
session_86,Returning,Home,10,868,Tablet,South,Google,False,True,False,True,submit,Home Equity,0.01,38103,694,1873.0,91594.0
session_87,Returning,Contact,5,282,Tablet,Midwest,Email,True,False,False,True,start_app,Purchase,0.32,32202,617,1663.0,71030.0
session_88,Returning,Learn,7,891,Desktop,South,Direct,True,True,True,True,calculator,Other,0.52,33601,691,2638.0,96681.0
session_89,New,Learn,3,801,Desktop,Northeast,Google,False,True,True,True,review,Home Equity,0.08,73301,783,1074.0,71393.0
session_90,New,Learn,3,848,Tablet,Northeast,Other,True,True,False,True,calculator,Other,0.49,30301,701,1759.0,72389.0
session_91,Returning,Contact,5,891,Desktop,Northeast,Google,False,False,False,False,review,Other,0.92,38103,711,1235.0,47003.0
session_92,New,Home,4,315,Desktop,Midwest,Other,False,True,False,True,start_app,Purchase,0.69,38103,636,1065.0,108156.0
session_93,Returning,Rates,5,891,Mobile,South,Google,False,False,False,False,submit,Other,0.78,33601,669,1495.0,75350.0
session_94,New,Learn,6,722,Desktop,South,Facebook,True,True,True,True,calculator,Purchase,0.58,29401,681,1569.0,89552.0
session_95,Returning,Rates,5,239,Desktop,South,Other,False,False,False,True,submit,Other,0.9,70112,684,2959.0,59101.0
session_96,New,Rates,4,139,Mobile,West,Other,True,True,False,True,start_app,Other,0.15,33601,764,1408.0,95899.0
session_97,Returning,Calculator,4,359,Tablet,Midwest,Email,False,True,False,False,none,Other,0.45,75201,727,935.0,65951.0
session_98,New,Rates,7,171,Tablet,Northeast,Google,False,False,False,True,start_app,Refinance,0.6,70112,644,1637.0,81457.0
session_99,Returning,Calculator,3,705,Desktop,Northeast,Other,False,False,True,False,start_app,Other,0.87,30301,712,463.0,106946.0
session_100,New,Home,4,116,Desktop,South,Other,True,True,True,True,start_app,Home Equity,0.31,70112,724,1454.0,104769.0
session_101,New,Home,6,169,Tablet,South,Google,True,True,False,False,none,Refinance,0.0,29401,757,1508.0,84449.0
session_102,New,Calculator,3,361,Desktop,West,Google,False,True,False,True,none,Purchase,0.97,70112,779,1897.0,40797.0
session_103,Returning,Home,4,703,Tablet,Midwest,Direct,False,True,False,False,start_app,Other,0.03,30301,649,1987.0,159820.0
session_104,Returning,Learn,2,55,Tablet,South,Email,True,True,True,False,none,Purchase,0.15,29401,659,1248.0,128646.0
session_105,Returning,Home,7,675,Mobile,South,Other,False,True,False,True,review,Home Equity,0.42,38103,637,1425.0,103067.0
session_106,New,Calculator,7,898,Mobile,Midwest,Google,True,False,True,True,start_app,Home Equity,0.5,38103,688,1117.0,66170.0
session_107,Returning,Learn,5,656,Desktop,South,Other,False,False,True,True,calculator,Home Equity,0.83,32202,723,936.0,82160.0
session_108,New,Rates,3,722,Desktop,Northeast,Direct,False,False,False,True,review,Home Equity,0.45,70112,749,1655.0,71414.0
session_109,New,Rates,4,391,Tablet,Midwest,Direct,True,False,True,True,start_app,Other,0.55,38103,696,863.0,116596.0
session_110,New,Rates,7,688,Desktop,Northeast,Other,True,True,True,False,calculator,Purchase,0.2,30301,684,1293.0,91563.0
session_111,Returning,Calculator,5,389,Mobile,West,Email,True,False,False,True,calculator,Purchase,0.57,37201,707,1002.0,65396.0
session_112,New,Rates,4,244,Tablet,South,Facebook,False,False,False,True,submit,Purchase,0.35,37201,658,1775.0,73231.0
session_113,Returning,Home,4,106,Tablet,South,Other,False,False,True,True,submit,Refinance,0.1,29401,804,2401.0,113030.0
session_114,Returning,Rates,6,124,Desktop,Midwest,Direct,True,False,True,True,calculator,Refinance,0.95,38103,619,849.0,125002.0
session_115,New,Contact,1,247,Tablet,West,Email,False,True,True,False,start_app,Other,0.08,38103,709,573.0,123208.0
session_116,Returning,Contact,6,397,Tablet,Midwest,Google,False,False,False,False,start_app,Refinance,0.68,37201,801,1438.0,103926.0
session_117,New,Rates,10,81,Tablet,West,Email,False,False,True,False,start_app,Home Equity,0.91,38103,700,1508.0,78684.0
session_118,New,Rates,2,303,Mobile,Midwest,Email,True,True,False,False,start_app,Other,0.18,70112,690,1609.0,30000.0
session_119,Returning,Contact,6,473,Tablet,Midwest,Other,True,True,True,False,calculator,Other,0.24,75201,682,1277.0,92429.0
session_120,New,Rates,4,716,Mobile,South,Email,False,False,False,False,none,Other,0.43,73301,690,1400.0,84954.0
session_121,New,Learn,4,854,Tablet,South,Google,False,False,True,False,none,Purchase,0.29,32202,768,1684.0,88500.0
session_122,New,Contact,6,62,Desktop,West,Other,False,False,True,False,start_app,Refinance,0.76,29401,589,2020.0,86347.0
session_123,Returning,Calculator,5,445,Desktop,Northeast,Direct,True,True,False,True,submit,Home Equity,0.34,75201,776,522.0,51843.0
session_124,Returning,Contact,2,673,Tablet,Northeast,Google,True,False,False,True,calculator,Other,0.99,37201,628,1316.0,98935.0
session_125,Returning,Home,5,454,Desktop,Midwest,Other,True,True,True,True,none,Home Equity,0.86,38103,686,1607.0,100805.0
session_126,New,Learn,3,816,Mobile,South,Other,True,True,True,False,calculator,Other,0.9,32202,678,1041.0,102058.0
session_127,New,Calculator,2,36,Tablet,Midwest,Facebook,True,False,True,False,submit,Home Equity,0.06,38103,729,2366.0,108664.0
session_128,Returning,Rates,4,524,Mobile,West,Google,False,False,True,True,calculator,Purchase,0.18,30301,620,1182.0,100101.0
session_129,Returning,Home,4,768,Tablet,Midwest,Email,False,True,False,True,submit,Home Equity,0.17,30301,723,1479.0,74749.0
session_130,Returning,Home,2,796,Mobile,Midwest,Google,True,True,True,True,submit,Refinance,0.67,32202,801,1778.0,83229.0
session_131,Returning,Learn,6,823,Desktop,Midwest,Google,True,True,False,False,review,Home Equity,0.01,32202,631,1204.0,87278.0
session_132,Returning,Calculator,6,777,Mobile,West,Facebook,True,True,False,False,submit,Other,0.81,37201,709,577.0,87692.0
session_133,New,Home,4,884,Mobile,West,Email,True,True,False,False,review,Other,0.55,32202,666,1286.0,109955.0
session_134,Returning,Calculator,6,383,Desktop,Midwest,Facebook,False,True,False,False,submit,Purchase,0.57,70112,721,2015.0,101092.0
session_135,New,Calculator,2,725,Desktop,South,Facebook,False,False,False,False,submit,Purchase,0.54,38103,700,1332.0,136934.0
session_136,New,Home,3,228,Tablet,West,Facebook,False,False,False,True,calculator,Other,0.54,75201,667,1077.0,140162.0
session_137,New,Calculator,1,744,Tablet,Northeast,Google,False,False,True,False,review,Other,0.2,33601,724,1963.0,86991.0
session_138,New,Learn,4,464,Mobile,Midwest,Facebook,True,False,True,False,none,Home Equity,0.28,32202,790,1335.0,30000.0
session_139,Returning,Home,5,165,Tablet,South,Direct,True,True,False,False,none,Other,0.49,29401,690,1245.0,115921.0
session_140,New,Learn,4,317,Mobile,West,Email,True,True,True,False,calculator,Purchase,0.68,30301,735,1575.0,71491.0
session_141,Returning,Learn,6,831,Tablet,Midwest,Email,False,False,False,True,none,Purchase,0.27,70112,635,1885.0,64963.0
session_142,New,Calculator,4,687,Desktop,South,Facebook,False,False,False,False,none,Refinance,0.81,33601,652,2691.0,75039.0
session_143,Returning,Calculator,5,748,Desktop,Northeast,Google,False,False,False,True,submit,Refinance,0.81,75201,723,1914.0,73834.0
session_144,Returning,Home,6,596,Desktop,West,Other,False,False,True,True,start_app,Other,0.27,33601,774,2080.0,100307.0
session_145,New,Rates,3,840,Desktop,West,Other,False,False,True,True,start_app,Home Equity,0.56,32202,717,1247.0,46014.0
session_146,Returning,Home,4,437,Mobile,Northeast,Google,True,True,True,False,none,Other,0.35,37201,684,987.0,58057.0
session_147,New,Learn,8,791,Desktop,West,Facebook,False,True,False,True,calculator,Purchase,0.19,30301,699,1531.0,93579.0
session_148,Returning,Calculator,4,816,Desktop,South,Facebook,False,False,True,True,calculator,Purchase,0.81,30301,637,1554.0,100574.0
session_149,New,Learn,7,746,Desktop,West,Direct,False,False,False,False,review,Purchase,0.99,37201,730,961.0,101039.0
session_150,New,Contact,4,854,Desktop,Midwest,Other,True,False,False,True,calculator,Other,0.57,38103,744,1412.0,65324.0
session_151,Returning,Contact,5,733,Tablet,Northeast,Other,False,False,True,False,calculator,Other,0.91,73301,677,1700.0,60543.0
session_152,Returning,Learn,2,365,Mobile,Midwest,Email,False,False,False,True,submit,Refinance,0.64,70112,676,1680.0,72334.0
session_153,New,Rates,9,31,Mobile,West,Facebook,True,False,False,True,submit,Purchase,0.57,30301,713,1752.0,90997.0
session_154,New,Rates,1,214,Tablet,Midwest,Google,True,False,False,False,none,Refinance,0.48,29401,678,1645.0,122137.0
session_155,Returning,Home,5,703,Tablet,South,Facebook,True,False,False,False,calculator,Purchase,0.24,30301,696,1246.0,33814.0
session_156,New,Home,4,590,Mobile,Midwest,Facebook,False,True,False,False,start_app,Refinance,0.08,33601,804,1243.0,79482.0
session_157,New,Home,3,631,Mobile,South,Direct,False,False,True,False,calculator,Other,0.44,30301,687,901.0,51683.0
session_158,New,Calculator,7,467,Tablet,South,Google,False,False,False,True,calculator,Home Equity,0.56,30301,682,2392.0,43694.0
session_159,Returning,Rates,4,792,Desktop,South,Direct,False,False,False,True,none,Home Equity,0.51,73301,667,1507.0,109174.0
session_160,New,Learn,3,51,Mobile,Northeast,Direct,True,True,True,True,start_app,Purchase,0.7,73301,737,1388.0,98616.0
session_161,New,Contact,6,241,Tablet,Midwest,Direct,True,False,True,False,none,Other,0.19,75201,690,1036.0,96236.0
session_162,Returning,Rates,4,506,Desktop,South,Direct,True,True,False,False,calculator,Purchase,0.35,38103,667,2968.0,108026.0
session_163,New,Rates,3,495,Desktop,South,Facebook,True,False,True,False,start_app,Refinance,0.42,29401,766,963.0,73007.0
session_164,New,Rates,6,263,Tablet,Midwest,Email,False,True,False,True,calculator,Other,0.19,30301,770,1286.0,74184.0
session_165,New,Home,6,201,Mobile,West,Facebook,True,True,True,True,none,Refinance,0.91,30301,669,1708.0,139643.0
session_166,New,Calculator,3,632,Mobile,Northeast,Direct,False,False,True,False,none,Refinance,0.68,70112,606,1800.0,78836.0
session_167,Returning,Learn,6,704,Desktop,South,Direct,False,False,True,True,submit,Purchase,0.09,73301,750,1979.0,103378.0
session_168,New,Home,6,826,Tablet,West,Email,True,False,False,False,start_app,Refinance,0.71,29401,665,2404.0,85160.0
session_169,New,Calculator,2,547,Desktop,West,Other,False,True,True,False,submit,Purchase,0.55,75201,739,1753.0,38794.0
session_170,New,Rates,8,273,Desktop,West,Google,False,True,True,False,start_app,Refinance,0.52,38103,601,972.0,33884.0
session_171,New,Calculator,3,450,Desktop,South,Direct,False,False,True,True,review,Purchase,0.99,37201,744,1372.0,70525.0
session_172,New,Home,10,408,Tablet,South,Direct,True,True,False,True,start_app,Refinance,0.62,38103,639,1654.0,111403.0
session_173,Returning,Rates,4,502,Mobile,South,Facebook,False,False,True,True,calculator,Refinance,0.9,33601,736,2534.0,104707.0
session_174,Returning,Home,4,370,Desktop,Midwest,Direct,False,True,True,False,start_app,Refinance,0.91,30301,700,801.0,107852.0
session_175,New,Learn,3,700,Mobile,South,Direct,False,False,True,True,submit,Purchase,0.1,75201,652,2101.0,60324.0
session_176,New,Rates,8,152,Mobile,Northeast,Google,True,False,True,True,none,Other,0.01,33601,679,1590.0,125397.0
session_177,Returning,Calculator,7,463,Tablet,Midwest,Facebook,False,True,True,False,none,Home Equity,0.44,29401,734,1919.0,60878.0
session_178,Returning,Home,8,217,Mobile,Northeast,Other,False,True,True,True,start_app,Home Equity,0.77,37201,705,1449.0,90321.0
session_179,Returning,Contact,3,43,Mobile,West,Direct,False,True,True,True,review,Purchase,0.82,73301,729,1079.0,84741.0
session_180,New,Calculator,6,99,Desktop,Midwest,Direct,True,True,False,False,none,Purchase,0.79,75201,798,1875.0,80653.0
session_181,New,Calculator,6,680,Tablet,Midwest,Other,True,True,False,True,none,Home Equity,0.45,75201,621,1827.0,118465.0
session_182,New,Rates,7,440,Tablet,Midwest,Email,True,False,True,True,none,Other,0.75,30301,780,1986.0,67372.0
session_183,New,Calculator,3,899,Desktop,Northeast,Other,False,False,False,False,review,Other,0.72,32202,705,1493.0,51260.0
session_184,New,Home,8,866,Desktop,Northeast,Other,False,True,True,True,submit,Home Equity,0.31,75201,655,1200.0,85500.0
session_185,New,Contact,8,620,Mobile,West,Facebook,False,True,True,True,start_app,Refinance,0.17,70112,633,721.0,75004.0
session_186,Returning,Learn,5,835,Mobile,South,Other,False,True,True,False,review,Refinance,0.62,37201,690,1910.0,169435.0
session_187,Returning,Contact,11,347,Tablet,Northeast,Facebook,False,False,False,True,start_app,Purchase,0.68,37201,746,1712.0,101913.0
session_188,New,Home,2,466,Tablet,West,Other,True,False,False,True,calculator,Home Equity,0.57,70112,693,1017.0,74766.0
session_189,New,Rates,3,621,Mobile,South,Direct,True,False,False,True,start_app,Home Equity,0.21,70112,775,1231.0,58597.0
session_190,New,Home,4,175,Desktop,Midwest,Direct,False,False,True,True,none,Purchase,0.28,70112,627,1267.0,37993.0
session_191,Returning,Calculator,4,766,Tablet,South,Email,True,False,False,True,review,Other,0.71,37201,699,759.0,59370.0
session_192,Returning,Rates,8,256,Desktop,Northeast,Other,True,False,False,True,review,Other,0.96,38103,637,1091.0,87874.0
session_193,Returning,Learn,4,411,Mobile,West,Google,False,False,True,False,submit,Home Equity,0.94,37201,718,933.0,120683.0
session_194,Returning,Learn,9,209,Tablet,Midwest,Other,False,True,True,False,calculator,Refinance,0.52,32202,744,1294.0,113042.0
session_195,New,Home,8,565,Tablet,Midwest,Google,True,False,True,True,submit,Home Equity,0.89,30301,678,1131.0,90727.0
session_196,Returning,Calculator,4,128,Mobile,South,Other,True,False,True,True,submit,Home Equity,0.03,33601,569,686.0,76921.0
session_197,Returning,Learn,7,420,Mobile,South,Facebook,False,False,True,True,calculator,Refinance,0.86,38103,709,2511.0,91720.0
session_198,New,Contact,2,299,Desktop,Northeast,Direct,False,False,True,False,none,Home Equity,0.48,73301,721,2126.0,72034.0
session_199,New,Rates,6,123,Desktop,Midwest,Google,False,True,True,True,review,Other,0.78,33601,720,1110.0,127959.0
session_200,New,Contact,7,821,Mobile,South,Google,True,True,True,False,start_app,Other,0.01,30301,761,1636.0,80270.0
session_201,Returning,Learn,5,492,Mobile,Midwest,Other,True,True,False,True,calculator,Refinance,0.87,32202,646,1709.0,82842.0
session_202,New,Learn,8,810,Mobile,West,Direct,False,True,False,False,submit,Other,0.59,32202,734,2096.0,30000.0
session_203,Returning,Home,5,688,Tablet,West,Email,False,False,True,True,start_app,Refinance,0.24,73301,759,1091.0,80114.0
session_204,Returning,Home,6,314,Mobile,Northeast,Google,False,True,False,False,calculator,Refinance,0.35,38103,611,2046.0,105912.0
session_205,Returning,Rates,3,51,Tablet,Midwest,Direct,False,False,True,True,calculator,Home Equity,0.2,70112,715,1226.0,58307.0
session_206,Returning,Home,5,31,Mobile,South,Direct,False,True,False,False,none,Refinance,0.42,38103,674,832.0,66232.0
session_207,New,Calculator,5,132,Tablet,West,Google,True,True,False,True,none,Other,0.33,32202,695,1862.0,104818.0
session_208,New,Rates,3,65,Desktop,West,Facebook,True,True,False,True,review,Other,0.53,37201,717,2145.0,48084.0
session_209,Returning,Calculator,7,835,Desktop,Northeast,Facebook,False,False,True,True,review,Purchase,0.81,30301,675,2794.0,111445.0
session_210,New,Home,5,303,Tablet,West,Other,False,True,True,True,start_app,Other,0.98,73301,666,900.0,71696.0
session_211,Returning,Rates,6,80,Desktop,Northeast,Other,False,True,True,False,review,Home Equity,0.25,30301,701,1849.0,75286.0
session_212,Returning,Learn,3,172,Desktop,Midwest,Direct,True,True,True,True,calculator,Refinance,0.11,29401,645,1295.0,56903.0
session_213,New,Contact,5,512,Tablet,South,Google,False,False,True,False,calculator,Other,0.4,29401,645,1892.0,94451.0
session_214,New,Learn,4,46,Mobile,Midwest,Facebook,True,False,True,False,calculator,Purchase,0.14,38103,733,765.0,146497.0
session_215,Returning,Calculator,2,618,Mobile,Midwest,Direct,True,False,False,False,calculator,Purchase,0.83,32202,642,869.0,104537.0
session_216,New,Learn,5,307,Tablet,Midwest,Facebook,False,False,False,True,none,Refinance,0.5,32202,733,1112.0,63393.0
session_217,Returning,Learn,6,664,Desktop,South,Google,False,False,True,True,calculator,Other,0.62,70112,723,1539.0,113391.0
session_218,New,Contact,3,467,Mobile,Midwest,Facebook,False,True,True,False,calculator,Other,0.15,70112,613,1179.0,77083.0
session_219,Returning,Contact,6,465,Mobile,Midwest,Email,False,False,False,True,calculator,Purchase,0.75,70112,666,1830.0,119362.0
session_220,Returning,Learn,6,413,Desktop,Northeast,Other,False,True,False,False,submit,Other,0.97,37201,759,2013.0,105167.0
session_221,New,Contact,4,887,Tablet,Northeast,Facebook,True,False,False,False,start_app,Other,0.48,33601,650,1800.0,30000.0
session_222,New,Learn,5,715,Tablet,Northeast,Google,True,True,True,False,start_app,Refinance,0.96,75201,676,2309.0,59898.0
session_223,Returning,Rates,3,161,Mobile,South,Google,False,False,True,False,calculator,Other,0.03,33601,723,1708.0,108610.0
